dt,tclass,month_1,month_2,month_3,month_4,month_5,month_6
1000534972,R2SP,60,60,60,60,60,60
1000534972,R2TP,60,60,60,60,60,60
1000534972,C1SP,60,60,60,60,60,60
1000534972,C1TP,60,60,60,60,60,60
1000534972,D1,60,60,60,60,60,60
1000534972,D2,60,60,60,60,60,60
1000534972,D3,60,60,60,60,60,60
1000534972,A1,60,60,60,60,60,60
1000534972,A2,60,60,60,60,60,60
1000534972,A3,60,60,60,60,60,60
1000281101,R2SP,486,486,486,486,486,486
1000281101,R2TP,486,486,486,486,486,486
1000281101,C1SP,486,486,486,486,486,486
1000281101,C1TP,486,486,486,486,486,486
1000281101,D1,486,486,486,486,486,486
1000281101,D2,486,486,486,486,486,486
1000281101,D3,486,486,486,486,486,486
1000281101,A1,486,486,486,486,486,486
1000281101,A2,486,486,486,486,486,486
1000281101,A3,486,486,486,486,486,486
1000263210,R2SP,164,164,164,164,164,164
1000263210,R2TP,164,164,164,164,164,164
1000263210,C1SP,164,164,164,164,164,164
1000263210,C1TP,164,164,164,164,164,164
1000263210,D1,164,164,164,164,164,164
1000263210,D2,164,164,164,164,164,164
1000263210,D3,164,164,164,164,164,164
1000263210,A1,164,164,164,164,164,164
1000263210,A2,164,164,164,164,164,164
1000263210,A3,164,164,164,164,164,164
1000257233,R2SP,61,61,61,61,61,61
1000257233,R2TP,61,61,61,61,61,61
1000257233,C1SP,61,61,61,61,61,61
1000257233,C1TP,61,61,61,61,61,61
1000257233,D1,61,61,61,61,61,61
1000257233,D2,61,61,61,61,61,61
1000257233,D3,61,61,61,61,61,61
1000257233,A1,61,61,61,61,61,61
1000257233,A2,61,61,61,61,61,61
1000257233,A3,61,61,61,61,61,61
1000229751,R2SP,69,69,69,69,69,69
1000229751,R2TP,69,69,69,69,69,69
1000229751,C1SP,69,69,69,69,69,69
1000229751,C1TP,69,69,69,69,69,69
1000229751,D1,69,69,69,69,69,69
1000229751,D2,69,69,69,69,69,69
1000229751,D3,69,69,69,69,69,69
1000229751,A1,69,69,69,69,69,69
1000229751,A2,69,69,69,69,69,69
1000229751,A3,69,69,69,69,69,69
1000207373,R2SP,445,445,445,445,445,445
1000207373,R2TP,445,445,445,445,445,445
1000207373,C1SP,445,445,445,445,445,445
1000207373,C1TP,445,445,445,445,445,445
1000207373,D1,445,445,445,445,445,445
1000207373,D2,445,445,445,445,445,445
1000207373,D3,445,445,445,445,445,445
1000207373,A1,445,445,445,445,445,445
1000207373,A2,445,445,445,445,445,445
1000207373,A3,445,445,445,445,445,445
1000280580,R2SP,155,155,155,155,155,155
1000280580,R2TP,155,155,155,155,155,155
1000280580,C1SP,155,155,155,155,155,155
1000280580,C1TP,155,155,155,155,155,155
1000280580,D1,155,155,155,155,155,155
1000280580,D2,155,155,155,155,155,155
1000280580,D3,155,155,155,155,155,155
1000280580,A1,155,155,155,155,155,155
1000280580,A2,155,155,155,155,155,155
1000280580,A3,155,155,155,155,155,155
1000263149,R2SP,120,120,120,120,120,120
1000263149,R2TP,120,120,120,120,120,120
1000263149,C1SP,120,120,120,120,120,120
1000263149,C1TP,120,120,120,120,120,120
1000263149,D1,120,120,120,120,120,120
1000263149,D2,120,120,120,120,120,120
1000263149,D3,120,120,120,120,120,120
1000263149,A1,120,120,120,120,120,120
1000263149,A2,120,120,120,120,120,120
1000263149,A3,120,120,120,120,120,120
1000257230,R2SP,262,262,262,262,262,262
1000257230,R2TP,262,262,262,262,262,262
1000257230,C1SP,262,262,262,262,262,262
1000257230,C1TP,262,262,262,262,262,262
1000257230,D1,262,262,262,262,262,262
1000257230,D2,262,262,262,262,262,262
1000257230,D3,262,262,262,262,262,262
1000257230,A1,262,262,262,262,262,262
1000257230,A2,262,262,262,262,262,262
1000257230,A3,262,262,262,262,262,262
1000235260,R2SP,479,479,479,479,479,479
1000235260,R2TP,479,479,479,479,479,479
1000235260,C1SP,479,479,479,479,479,479
1000235260,C1TP,479,479,479,479,479,479
1000235260,D1,479,479,479,479,479,479
1000235260,D2,479,479,479,479,479,479
1000235260,D3,479,479,479,479,479,479
1000235260,A1,479,479,479,479,479,479
1000235260,A2,479,479,479,479,479,479
1000235260,A3,479,479,479,479,479,479
1000192391,R2SP,376,376,376,376,376,376
1000192391,R2TP,376,376,376,376,376,376
1000192391,C1SP,376,376,376,376,376,376
1000192391,C1TP,376,376,376,376,376,376
1000192391,D1,376,376,376,376,376,376
1000192391,D2,376,376,376,376,376,376
1000192391,D3,376,376,376,376,376,376
1000192391,A1,376,376,376,376,376,376
1000192391,A2,376,376,376,376,376,376
1000192391,A3,376,376,376,376,376,376
1000281099,R2SP,285,285,285,285,285,285
1000281099,R2TP,285,285,285,285,285,285
1000281099,C1SP,285,285,285,285,285,285
1000281099,C1TP,285,285,285,285,285,285
1000281099,D1,285,285,285,285,285,285
1000281099,D2,285,285,285,285,285,285
1000281099,D3,285,285,285,285,285,285
1000281099,A1,285,285,285,285,285,285
1000281099,A2,285,285,285,285,285,285
1000281099,A3,285,285,285,285,285,285
1000280157,R2SP,364,364,364,364,364,364
1000280157,R2TP,364,364,364,364,364,364
1000280157,C1SP,364,364,364,364,364,364
1000280157,C1TP,364,364,364,364,364,364
1000280157,D1,364,364,364,364,364,364
1000280157,D2,364,364,364,364,364,364
1000280157,D3,364,364,364,364,364,364
1000280157,A1,364,364,364,364,364,364
1000280157,A2,364,364,364,364,364,364
1000280157,A3,364,364,364,364,364,364
1000263125,R2SP,97,97,97,97,97,97
1000263125,R2TP,97,97,97,97,97,97
1000263125,C1SP,97,97,97,97,97,97
1000263125,C1TP,97,97,97,97,97,97
1000263125,D1,97,97,97,97,97,97
1000263125,D2,97,97,97,97,97,97
1000263125,D3,97,97,97,97,97,97
1000263125,A1,97,97,97,97,97,97
1000263125,A2,97,97,97,97,97,97
1000263125,A3,97,97,97,97,97,97
1000257869,R2SP,357,357,357,357,357,357
1000257869,R2TP,357,357,357,357,357,357
1000257869,C1SP,357,357,357,357,357,357
1000257869,C1TP,357,357,357,357,357,357
1000257869,D1,357,357,357,357,357,357
1000257869,D2,357,357,357,357,357,357
1000257869,D3,357,357,357,357,357,357
1000257869,A1,357,357,357,357,357,357
1000257869,A2,357,357,357,357,357,357
1000257869,A3,357,357,357,357,357,357
1000229748,R2SP,129,129,129,129,129,129
1000229748,R2TP,129,129,129,129,129,129
1000229748,C1SP,129,129,129,129,129,129
1000229748,C1TP,129,129,129,129,129,129
1000229748,D1,129,129,129,129,129,129
1000229748,D2,129,129,129,129,129,129
1000229748,D3,129,129,129,129,129,129
1000229748,A1,129,129,129,129,129,129
1000229748,A2,129,129,129,129,129,129
1000229748,A3,129,129,129,129,129,129
1000207369,R2SP,275,275,275,275,275,275
1000207369,R2TP,275,275,275,275,275,275
1000207369,C1SP,275,275,275,275,275,275
1000207369,C1TP,275,275,275,275,275,275
1000207369,D1,275,275,275,275,275,275
1000207369,D2,275,275,275,275,275,275
1000207369,D3,275,275,275,275,275,275
1000207369,A1,275,275,275,275,275,275
1000207369,A2,275,275,275,275,275,275
1000207369,A3,275,275,275,275,275,275
1000257222,R2SP,331,331,331,331,331,331
1000257222,R2TP,331,331,331,331,331,331
1000257222,C1SP,331,331,331,331,331,331
1000257222,C1TP,331,331,331,331,331,331
1000257222,D1,331,331,331,331,331,331
1000257222,D2,331,331,331,331,331,331
1000257222,D3,331,331,331,331,331,331
1000257222,A1,331,331,331,331,331,331
1000257222,A2,331,331,331,331,331,331
1000257222,A3,331,331,331,331,331,331
1000189304,R2SP,374,374,374,374,374,374
1000189304,R2TP,374,374,374,374,374,374
1000189304,C1SP,374,374,374,374,374,374
1000189304,C1TP,374,374,374,374,374,374
1000189304,D1,374,374,374,374,374,374
1000189304,D2,374,374,374,374,374,374
1000189304,D3,374,374,374,374,374,374
1000189304,A1,374,374,374,374,374,374
1000189304,A2,374,374,374,374,374,374
1000189304,A3,374,374,374,374,374,374
1000281095,R2SP,423,423,423,423,423,423
1000281095,R2TP,423,423,423,423,423,423
1000281095,C1SP,423,423,423,423,423,423
1000281095,C1TP,423,423,423,423,423,423
1000281095,D1,423,423,423,423,423,423
1000281095,D2,423,423,423,423,423,423
1000281095,D3,423,423,423,423,423,423
1000281095,A1,423,423,423,423,423,423
1000281095,A2,423,423,423,423,423,423
1000281095,A3,423,423,423,423,423,423
1000257219,R2SP,195,195,195,195,195,195
1000257219,R2TP,195,195,195,195,195,195
1000257219,C1SP,195,195,195,195,195,195
1000257219,C1TP,195,195,195,195,195,195
1000257219,D1,195,195,195,195,195,195
1000257219,D2,195,195,195,195,195,195
1000257219,D3,195,195,195,195,195,195
1000257219,A1,195,195,195,195,195,195
1000257219,A2,195,195,195,195,195,195
1000257219,A3,195,195,195,195,195,195
1000280575,R2SP,439,439,439,439,439,439
1000280575,R2TP,439,439,439,439,439,439
1000280575,C1SP,439,439,439,439,439,439
1000280575,C1TP,439,439,439,439,439,439
1000280575,D1,439,439,439,439,439,439
1000280575,D2,439,439,439,439,439,439
1000280575,D3,439,439,439,439,439,439
1000280575,A1,439,439,439,439,439,439
1000280575,A2,439,439,439,439,439,439
1000280575,A3,439,439,439,439,439,439
1000280571,R2SP,164,164,164,164,164,164
1000280571,R2TP,164,164,164,164,164,164
1000280571,C1SP,164,164,164,164,164,164
1000280571,C1TP,164,164,164,164,164,164
1000280571,D1,164,164,164,164,164,164
1000280571,D2,164,164,164,164,164,164
1000280571,D3,164,164,164,164,164,164
1000280571,A1,164,164,164,164,164,164
1000280571,A2,164,164,164,164,164,164
1000280571,A3,164,164,164,164,164,164
1000257834,R2SP,402,402,402,402,402,402
1000257834,R2TP,402,402,402,402,402,402
1000257834,C1SP,402,402,402,402,402,402
1000257834,C1TP,402,402,402,402,402,402
1000257834,D1,402,402,402,402,402,402
1000257834,D2,402,402,402,402,402,402
1000257834,D3,402,402,402,402,402,402
1000257834,A1,402,402,402,402,402,402
1000257834,A2,402,402,402,402,402,402
1000257834,A3,402,402,402,402,402,402
1000280569,R2SP,68,68,68,68,68,68
1000280569,R2TP,68,68,68,68,68,68
1000280569,C1SP,68,68,68,68,68,68
1000280569,C1TP,68,68,68,68,68,68
1000280569,D1,68,68,68,68,68,68
1000280569,D2,68,68,68,68,68,68
1000280569,D3,68,68,68,68,68,68
1000280569,A1,68,68,68,68,68,68
1000280569,A2,68,68,68,68,68,68
1000280569,A3,68,68,68,68,68,68
1000270093,R2SP,212,212,212,212,212,212
1000270093,R2TP,212,212,212,212,212,212
1000270093,C1SP,212,212,212,212,212,212
1000270093,C1TP,212,212,212,212,212,212
1000270093,D1,212,212,212,212,212,212
1000270093,D2,212,212,212,212,212,212
1000270093,D3,212,212,212,212,212,212
1000270093,A1,212,212,212,212,212,212
1000270093,A2,212,212,212,212,212,212
1000270093,A3,212,212,212,212,212,212
1000257832,R2SP,338,338,338,338,338,338
1000257832,R2TP,338,338,338,338,338,338
1000257832,C1SP,338,338,338,338,338,338
1000257832,C1TP,338,338,338,338,338,338
1000257832,D1,338,338,338,338,338,338
1000257832,D2,338,338,338,338,338,338
1000257832,D3,338,338,338,338,338,338
1000257832,A1,338,338,338,338,338,338
1000257832,A2,338,338,338,338,338,338
1000257832,A3,338,338,338,338,338,338
1000234632,R2SP,320,320,320,320,320,320
1000234632,R2TP,320,320,320,320,320,320
1000234632,C1SP,320,320,320,320,320,320
1000234632,C1TP,320,320,320,320,320,320
1000234632,D1,320,320,320,320,320,320
1000234632,D2,320,320,320,320,320,320
1000234632,D3,320,320,320,320,320,320
1000234632,A1,320,320,320,320,320,320
1000234632,A2,320,320,320,320,320,320
1000234632,A3,320,320,320,320,320,320
1000281091,R2SP,279,279,279,279,279,279
1000281091,R2TP,279,279,279,279,279,279
1000281091,C1SP,279,279,279,279,279,279
1000281091,C1TP,279,279,279,279,279,279
1000281091,D1,279,279,279,279,279,279
1000281091,D2,279,279,279,279,279,279
1000281091,D3,279,279,279,279,279,279
1000281091,A1,279,279,279,279,279,279
1000281091,A2,279,279,279,279,279,279
1000281091,A3,279,279,279,279,279,279
1000270091,R2SP,467,467,467,467,467,467
1000270091,R2TP,467,467,467,467,467,467
1000270091,C1SP,467,467,467,467,467,467
1000270091,C1TP,467,467,467,467,467,467
1000270091,D1,467,467,467,467,467,467
1000270091,D2,467,467,467,467,467,467
1000270091,D3,467,467,467,467,467,467
1000270091,A1,467,467,467,467,467,467
1000270091,A2,467,467,467,467,467,467
1000270091,A3,467,467,467,467,467,467
1000257830,R2SP,115,115,115,115,115,115
1000257830,R2TP,115,115,115,115,115,115
1000257830,C1SP,115,115,115,115,115,115
1000257830,C1TP,115,115,115,115,115,115
1000257830,D1,115,115,115,115,115,115
1000257830,D2,115,115,115,115,115,115
1000257830,D3,115,115,115,115,115,115
1000257830,A1,115,115,115,115,115,115
1000257830,A2,115,115,115,115,115,115
1000257830,A3,115,115,115,115,115,115
1000281089,R2SP,136,136,136,136,136,136
1000281089,R2TP,136,136,136,136,136,136
1000281089,C1SP,136,136,136,136,136,136
1000281089,C1TP,136,136,136,136,136,136
1000281089,D1,136,136,136,136,136,136
1000281089,D2,136,136,136,136,136,136
1000281089,D3,136,136,136,136,136,136
1000281089,A1,136,136,136,136,136,136
1000281089,A2,136,136,136,136,136,136
1000281089,A3,136,136,136,136,136,136
1000270142,R2SP,63,63,63,63,63,63
1000270142,R2TP,63,63,63,63,63,63
1000270142,C1SP,63,63,63,63,63,63
1000270142,C1TP,63,63,63,63,63,63
1000270142,D1,63,63,63,63,63,63
1000270142,D2,63,63,63,63,63,63
1000270142,D3,63,63,63,63,63,63
1000270142,A1,63,63,63,63,63,63
1000270142,A2,63,63,63,63,63,63
1000270142,A3,63,63,63,63,63,63
1000245143,R2SP,463,463,463,463,463,463
1000245143,R2TP,463,463,463,463,463,463
1000245143,C1SP,463,463,463,463,463,463
1000245143,C1TP,463,463,463,463,463,463
1000245143,D1,463,463,463,463,463,463
1000245143,D2,463,463,463,463,463,463
1000245143,D3,463,463,463,463,463,463
1000245143,A1,463,463,463,463,463,463
1000245143,A2,463,463,463,463,463,463
1000245143,A3,463,463,463,463,463,463
1000281967,R2SP,446,446,446,446,446,446
1000281967,R2TP,446,446,446,446,446,446
1000281967,C1SP,446,446,446,446,446,446
1000281967,C1TP,446,446,446,446,446,446
1000281967,D1,446,446,446,446,446,446
1000281967,D2,446,446,446,446,446,446
1000281967,D3,446,446,446,446,446,446
1000281967,A1,446,446,446,446,446,446
1000281967,A2,446,446,446,446,446,446
1000281967,A3,446,446,446,446,446,446
1000280563,R2SP,482,482,482,482,482,482
1000280563,R2TP,482,482,482,482,482,482
1000280563,C1SP,482,482,482,482,482,482
1000280563,C1TP,482,482,482,482,482,482
1000280563,D1,482,482,482,482,482,482
1000280563,D2,482,482,482,482,482,482
1000280563,D3,482,482,482,482,482,482
1000280563,A1,482,482,482,482,482,482
1000280563,A2,482,482,482,482,482,482
1000280563,A3,482,482,482,482,482,482
1000270139,R2SP,65,65,65,65,65,65
1000270139,R2TP,65,65,65,65,65,65
1000270139,C1SP,65,65,65,65,65,65
1000270139,C1TP,65,65,65,65,65,65
1000270139,D1,65,65,65,65,65,65
1000270139,D2,65,65,65,65,65,65
1000270139,D3,65,65,65,65,65,65
1000270139,A1,65,65,65,65,65,65
1000270139,A2,65,65,65,65,65,65
