undertaking_tot,dt_tot,tclass_tot,tot_con_by_unmetered
ABULE TAYLOR,AJAYI 1,R1,24698
ABULE TAYLOR,AJAYI 1,R2S,24698
ABULE TAYLOR,AJAYI 1,R2T,24698
ABULE TAYLOR,AJAYI 1,R3,24698
ABULE TAYLOR,AJAYI 1,C1S,24698
ABULE TAYLOR,AJAYI 1,C1T,24698
ABULE TAYLOR,AJAYI 1,C2,24698
ABULE TAYLOR,AJAYI 1,D1,24698
ABULE TAYLOR,AJAYI 1,A1,24698
ABULE TAYLOR,AJAYI 1,S1,24698
ABULE TAYLOR,AJAYI 2,R1,19939
ABULE TAYLOR,AJAYI 2,R2S,19939
ABULE TAYLOR,AJAYI 2,R2T,19939
ABULE TAYLOR,AJAYI 2,R3,19939
ABULE TAYLOR,AJAYI 2,C1S,19939
ABULE TAYLOR,AJAYI 2,C1T,19939
ABULE TAYLOR,AJAYI 2,C2,19939
ABULE TAYLOR,AJAYI 2,D1,19939
ABULE TAYLOR,AJAYI 2,A1,19939
ABULE TAYLOR,AJAYI 2,S1,19939
ABULE TAYLOR,DAPO OSHATI,R1,24955
ABULE TAYLOR,DAPO OSHATI,R2S,24955
ABULE TAYLOR,DAPO OSHATI,R2T,24955
ABULE TAYLOR,DAPO OSHATI,R3,24955
ABULE TAYLOR,DAPO OSHATI,C1S,24955
ABULE TAYLOR,DAPO OSHATI,C1T,24955
ABULE TAYLOR,DAPO OSHATI,C2,24955
ABULE TAYLOR,DAPO OSHATI,D1,24955
ABULE TAYLOR,DAPO OSHATI,A1,24955
ABULE TAYLOR,DAPO OSHATI,S1,24955
ABULE TAYLOR,EJIADE,R1,48132
ABULE TAYLOR,EJIADE,R2S,48132
ABULE TAYLOR,EJIADE,R2T,48132
ABULE TAYLOR,EJIADE,R3,48132
ABULE TAYLOR,EJIADE,C1S,48132
ABULE TAYLOR,EJIADE,C1T,48132
ABULE TAYLOR,EJIADE,C2,48132
ABULE TAYLOR,EJIADE,D1,48132
ABULE TAYLOR,EJIADE,A1,48132
ABULE TAYLOR,EJIADE,S1,48132
ABULE TAYLOR,F.H.A. 1,R1,2925
ABULE TAYLOR,F.H.A. 1,R2S,2925
ABULE TAYLOR,F.H.A. 1,R2T,2925
ABULE TAYLOR,F.H.A. 1,R3,2925
ABULE TAYLOR,F.H.A. 1,C1S,2925
ABULE TAYLOR,F.H.A. 1,C1T,2925
ABULE TAYLOR,F.H.A. 1,C2,2925
ABULE TAYLOR,F.H.A. 1,D1,2925
ABULE TAYLOR,F.H.A. 1,A1,2925
ABULE TAYLOR,F.H.A. 1,S1,2925
ABULE TAYLOR,F.H.A. 3,R1,6912
ABULE TAYLOR,F.H.A. 3,R2S,6912
ABULE TAYLOR,F.H.A. 3,R2T,6912
ABULE TAYLOR,F.H.A. 3,R3,6912
ABULE TAYLOR,F.H.A. 3,C1S,6912
ABULE TAYLOR,F.H.A. 3,C1T,6912
ABULE TAYLOR,F.H.A. 3,C2,6912
ABULE TAYLOR,F.H.A. 3,D1,6912
ABULE TAYLOR,F.H.A. 3,A1,6912
ABULE TAYLOR,F.H.A. 3,S1,6912
ABULE TAYLOR,F.H.A. 4,R1,3439
ABULE TAYLOR,F.H.A. 4,R2S,3439
ABULE TAYLOR,F.H.A. 4,R2T,3439
ABULE TAYLOR,F.H.A. 4,R3,3439
ABULE TAYLOR,F.H.A. 4,C1S,3439
ABULE TAYLOR,F.H.A. 4,C1T,3439
ABULE TAYLOR,F.H.A. 4,C2,3439
ABULE TAYLOR,F.H.A. 4,D1,3439
ABULE TAYLOR,F.H.A. 4,A1,3439
ABULE TAYLOR,F.H.A. 4,S1,3439
ABULE TAYLOR,FEMI AYENI,R1,15294
ABULE TAYLOR,FEMI AYENI,R2S,15294
ABULE TAYLOR,FEMI AYENI,R2T,15294
ABULE TAYLOR,FEMI AYENI,R3,15294
ABULE TAYLOR,FEMI AYENI,C1S,15294
ABULE TAYLOR,FEMI AYENI,C1T,15294
ABULE TAYLOR,FEMI AYENI,C2,15294
ABULE TAYLOR,FEMI AYENI,D1,15294
ABULE TAYLOR,FEMI AYENI,A1,15294
ABULE TAYLOR,FEMI AYENI,S1,15294
ABULE TAYLOR,MUSILIU ALADE,R1,30780
ABULE TAYLOR,MUSILIU ALADE,R2S,30780
ABULE TAYLOR,MUSILIU ALADE,R2T,30780
ABULE TAYLOR,MUSILIU ALADE,R3,30780
ABULE TAYLOR,MUSILIU ALADE,C1S,30780
ABULE TAYLOR,MUSILIU ALADE,C1T,30780
ABULE TAYLOR,MUSILIU ALADE,C2,30780
ABULE TAYLOR,MUSILIU ALADE,D1,30780
ABULE TAYLOR,MUSILIU ALADE,A1,30780
ABULE TAYLOR,MUSILIU ALADE,S1,30780
ABULE TAYLOR,TAIWO OLAYIWOLA,R1,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,R2S,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,R2T,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,R3,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,C1S,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,C1T,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,C2,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,D1,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,A1,9883
ABULE TAYLOR,TAIWO OLAYIWOLA,S1,9883
