,DT,DT_NAME,UNDERTAKING,BUSINESS_UNIT,FEEDER_NO,FEEDER_NAME
2816,1000534972,11-LambeINJ-T1-Jolasco-NEPASCOOP 1,LAMBE,ABULE-EGBA,1092358,JOLASCO FEEDER
3840,1000281101,11-AgegeINJ-T1-Iju Road-51 OLD AKUTE RD HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
5120,1000263210,11-BeckleyINJ-T1-Agbe road-ABEOKUTA EXP HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6144,1000257233,11-YidiINJ-T1-Opeilu-TOLUWALASE,ADIYAN,ABULE-EGBA,1069300,OPEILU
8192,1000229751,11-Ijaiye OjokoroINJ-T2-Agbado 2-AKANBI ADENIRAN HVDS 4,FAGBA,ABULE-EGBA,1070432,AGBADO II
8704,1000207373,11-Ope IluINJ-T1-Adiyan-OLAOLUWA BELLO,IJAIYE,ABULE-EGBA,1094858,ADIYAN FEEDER
3841,1000280580,11-AgegeINJ-T1-Iju Road-6 FELIX CR HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
5121,1000263149,11-BeckleyINJ-T1-Agbe road-ABEOKUTA EXP HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6145,1000257230,11-YidiINJ-T1-Opeilu-GASLINE,ADIYAN,ABULE-EGBA,1069300,OPEILU
7937,1000235260,11-Ijaiye OjokoroINJ-T1-Jankara-FADINA COKER,FAGBA,ABULE-EGBA,1070428,JANKARA
8961,1000192391,33-OtaTCN-AMJE-SHOMOYE,IJAIYE,ABULE-EGBA,1073436,AMJE
3842,1000281099,11-AgegeINJ-T1-Oko Oba-THOMAS MAJOFODUN HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4098,1000280157,11-BeckleyINJ-T1-Agbe road-POPOOLA CLOSE HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
5122,1000263125,11-BeckleyINJ-T1-Agbe road-ABEOKUTA EXP HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6146,1000257869,11-YidiINJ-T1-Opeilu-KORODO,ADIYAN,ABULE-EGBA,1069300,OPEILU
8194,1000229748,11-Ijaiye OjokoroINJ-T2-Agbado 2-AKANBI ADENIRAN HVDS 5,FAGBA,ABULE-EGBA,1070432,AGBADO II
8706,1000207369,11-Ope IluINJ-T1-Adiyan-OLAOLUWA ITOKI 2,IJAIYE,ABULE-EGBA,1094858,ADIYAN FEEDER
6147,1000257222,11-YidiINJ-T1-Opeilu-OLOMOWEWE,ADIYAN,ABULE-EGBA,1069300,OPEILU
8963,1000189304,33-OtaTCN-AMJE-VEROACHA,IJAIYE,ABULE-EGBA,1073436,AMJE
3844,1000281095,11-AgegeINJ-T1-Oko Oba-ABIODUN KUYE HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6148,1000257219,11-YidiINJ-T1-Opeilu-MORICAS,ADIYAN,ABULE-EGBA,1069300,OPEILU
3845,1000280575,11-AgegeINJ-T1-Iju Road-8 RASAQ ADEGBITE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3846,1000280571,11-AgegeINJ-T1-Iju Road-6 BIODUN ONATOYE  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
