dt_inp,tot_recv,md,prime,tentv_ppm,ppaid
1000534972,105254,14098,7697,952,12055
1000281101,168578,9070,2661,824,13579
1000263210,165098,17721,1779,99800,9953
1000257233,146169,4356,5509,835,5453
1000229751,107417,19476,5670,992,14357
1000207373,144046,10566,2930,920,8472
1000280580,127098,4346,4646,755,4579
1000263149,142951,3035,6181,923,14851
1000257230,107572,7878,6550,994,11804
1000235260,126937,14780,1976,751,8913
1000192391,107779,12397,2282,896,2795
1000281099,133011,2561,2148,841,13077
1000280157,126577,17427,6418,738,12031
1000263125,136048,11192,2670,982,14019
1000257869,154559,8293,3400,828,4570
1000229748,135270,7652,2218,875,5436
1000207369,144952,18410,2448,997,12416
1000257222,194035,12172,1185,969,7993
1000189304,109421,16418,7771,720,13349
1000281095,106594,17823,6197,772,8343
1000257219,178429,19908,6303,862,1400
1000280575,114988,2513,8690,814,7242
1000280571,159878,10224,3636,972,5096
1000257834,130292,9407,5244,805,6261
1000280569,111905,16313,2375,967,4230
1000270093,179703,19990,7916,719,1310
1000257832,159716,7663,1541,729,9489
1000234632,145508,13011,2146,929,8219
1000281091,180151,18073,2966,847,2923
1000270091,159638,3508,9129,816,4719
1000257830,140785,19337,2637,724,2183
1000281089,183972,13294,1734,827,3227
1000270142,120712,17259,7652,833,12765
1000245143,196542,16540,1509,779,12491
1000281967,103663,10533,2401,782,10134
1000280563,155058,4907,4234,928,11497
1000270139,192802,16501,7489,764,12284
1000257210,188477,19988,8569,952,4862
1000245666,100450,2570,7180,771,3015
1000227401,118811,17165,1419,943,5470
1000205047,146516,2113,3538,712,8894
1000534970,191694,4026,2839,899,14480
1000280560,168327,13935,5219,877,10615
1000280125,152312,10756,6313,811,7125
1000270083,111606,16194,4626,938,10056
1000227652,168832,6457,6720,831,7320
1000281955,172544,19960,4978,839,7892
1000280556,168933,7094,6179,760,4493
1000270081,170740,13729,8767,800,7466
1000257826,104439,9013,8392,974,3856
1000245660,159542,10528,7311,877,8021
1000233569,112982,6269,8537,978,4970
1000533949,171520,12319,9309,789,6529
1000280623,196163,5602,6235,967,11987
1000270079,164460,5604,5869,973,13288
1000245657,169720,3775,3675,743,4097
1000281592,191123,18015,6551,846,4051
1000281110,104407,9299,7501,861,10139
1000227408,157099,7710,1977,709,6821
1000534944,198906,19229,3093,976,2883
1000281949,166305,15873,2071,824,1568
1000281108,132394,11701,5625,771,10266
1000534942,127373,11611,2132,833,9632
1000281104,133328,10646,8656,857,6527
1000270130,149462,19659,8575,866,13263
1000245668,110670,18236,5583,968,7105
1000281093,154695,6117,6955,968,2262
1000270036,159089,12325,4876,970,10403
1000245128,179272,6461,4883,856,13298
1000281589,172733,9267,1017,921,8464
1000281087,136804,4040,7463,882,4927
1000227398,177927,6359,5589,805,6733
1000205022,106262,5729,6198,926,7677
1000281084,190008,4513,3950,919,4310
1000266456,165686,12205,9805,808,8099
1000245594,150182,11603,7870,778,8105
1000205020,121839,2507,4367,819,14754
1000281585,149205,10793,6746,780,14825
1000281081,156488,18074,5274,987,4361
1000279598,155686,2616,1857,981,12595
1000229124,180404,16080,5511,832,13081
1000207344,162424,7471,9754,942,4421
1001220440,160762,4242,8506,803,4376
1000281078,186857,12616,8483,724,2569
1000279594,157413,17406,9774,826,14040
1000245125,102563,16458,5095,808,6572
1000227381,189054,17325,2280,897,9223
1000281075,155395,15526,9634,813,11758
1000279587,159902,16173,5502,818,12837
1000281072,167469,16926,9863,910,2118
1000281931,104135,15930,5982,804,14646
1000280548,142932,19492,2361,1000,8256
1000280048,165359,16735,8639,913,8157
1000207338,146346,6229,5145,937,12740
1001220426,133647,6113,6187,949,14604
1000281929,195604,5234,6911,957,6092
1000281069,190809,2406,6655,719,14674
1000280019,112756,17884,1321,793,1657
1000269517,188189,13500,2173,788,12785
1000207336,130005,8948,5747,955,5565
1000281927,189258,4453,1702,842,13697
1000280546,156230,17550,6872,946,8195
1000279526,113515,18502,8583,948,13710
1000269469,194219,4006,7366,771,1462
1000205016,114936,19556,8901,958,3551
1000281065,169777,19800,3189,786,2479
1000269397,117075,2253,4827,972,13592
1000227288,155040,3373,7935,892,9348
1000280544,143290,3030,5999,757,6447
1000279970,108753,8108,3735,784,8692
1000281918,142081,3918,3312,777,2774
1000279968,135732,12641,3203,786,8565
1000246753,195889,10101,3727,886,4093
1000281910,198015,17423,7274,822,5833
1000246750,189117,12270,5180,701,10265
1000284103,196076,6885,4085,808,9816
1000281567,188122,11066,5190,978,11156
1000207186,196623,19916,5641,806,12303
1000260976,110757,10999,8224,838,7044
1000259843,112060,7710,3840,789,11175
1000279543,118730,10215,8812,804,13225
1000273753,121416,17196,6571,942,14696
1000255502,144344,17094,3777,916,4416
1000204574,174871,4968,7435,739,2133
1000279541,187029,11959,6679,898,2439
1000273748,140546,7287,9803,824,5001
1000226883,114333,4309,8837,794,4212
1000279985,183722,2264,2438,768,14513
1000273745,127329,16673,1606,777,12062
1000261169,150211,11115,4811,776,8853
1000257143,118561,12255,8275,832,7675
1000246313,144727,6958,7604,904,3244
1000273740,101884,15009,8283,960,2922
1000246311,128456,6268,8927,722,2712
1000273492,117695,6486,9006,857,3243
1000257134,157150,19353,1260,840,5119
1000282063,109234,4269,1322,793,7767
1000279959,120965,12108,6284,702,4899
1000273733,107723,8440,7584,813,9446
1000269376,147826,5636,6524,846,10695
1000257678,157751,12581,7623,930,4766
1000246303,128733,15060,7560,789,3891
1000282189,123089,12284,4808,899,11341
1000279514,132196,14722,3027,975,4429
1000273488,196552,12620,3468,900,10182
1000269373,126457,12135,8824,712,6111
1000257675,109170,19148,6662,859,6636
1000246748,112279,8302,3301,891,8828
1000245068,197587,7720,2879,865,13240
1000239273,109764,14793,3299,709,3572
1001212426,144615,7970,6604,789,5201
1000279509,115918,3745,8742,808,13641
1000269370,153066,11271,3827,882,12852
1000260927,109999,18643,9612,714,9401
1000257672,180308,13749,4287,889,13812
1000246745,116940,14159,4053,932,6333
1000282055,199462,8144,1943,937,6747
1000279504,126219,7121,8961,833,4595
1000269367,156023,4946,9629,909,9004
1000257669,152234,9282,6571,851,10396
1000246743,103158,4099,2415,976,12045
1000176610,112517,19019,6357,734,6284
1000282185,147319,10948,5106,848,4563
1000279907,112822,17754,7987,741,4235
1000269715,117871,8737,3709,981,14938
1000257662,161441,15396,4051,780,12842
1000246740,100088,7054,4449,794,5380
1000283740,189814,16162,3321,974,6344
1000279502,182902,6797,4681,922,13631
1000269343,167705,3309,6534,760,11582
1000261142,105334,18147,6177,722,8235
1000246295,184882,2878,8380,899,2393
1000279500,146965,14464,9496,908,4737
1000269711,151419,15906,5321,901,6610
1000257656,180107,17966,9436,915,10542
1000246292,129185,14634,8099,814,14858
1000226869,156495,2794,3483,729,6052
1000532902,117155,3344,2316,977,12370
1000283726,175340,6644,6544,919,5468
1000279857,178934,2175,5502,857,3559
1000269341,110817,5264,4698,995,2950
1000246298,191558,16133,7159,723,2071
1000233453,133909,18295,2089,841,4216
1000283319,136478,14433,5904,959,7665
1000279482,108441,5135,2082,979,12902
1000261138,134821,9086,9436,755,7565
1000257650,187212,11345,4279,888,5986
1000246737,103107,19982,4712,975,7954
1000279480,161053,3696,8379,830,5202
1000257647,183499,16924,2116,758,14812
1000279478,110663,7462,4312,816,5280
1000246731,123296,19183,8034,791,14511
1000203982,132890,14496,8398,870,7400
1000279830,186175,14163,6088,912,7822
1000273770,129966,8321,8209,989,4434
1000258730,135842,12615,8117,827,14788
1000246728,135266,8205,7553,835,2800
1000226865,189752,13670,4654,965,10981
1000279827,153074,17517,6179,757,3156
1000260952,170707,19641,8800,953,9113
1000258727,137444,5364,2736,846,3334
1000283728,194543,12959,1686,991,8113
1000279824,122910,18741,3808,785,11735
1000265801,116935,8212,9379,773,12409
1000258371,138771,17807,1942,823,5279
1000255907,116228,11531,4500,771,4383
1000246255,142363,15243,4811,733,13759
1000227195,198629,12409,7471,857,10669
1000279474,199817,10771,5084,915,11363
1000258723,166744,15708,1553,980,5396
1000246252,140872,10634,8282,961,4207
1000234295,160683,14679,4572,960,9941
1000227193,105687,17076,6421,778,11033
1000531915,143145,19405,8555,986,6211
1000283297,181687,4117,4964,734,3363
1000279459,121823,11960,8896,766,12354
1000285859,161724,11401,7304,980,9036
1000282142,196470,17033,6718,833,8128
1000279454,110434,12766,3515,897,8661
1000266264,138005,16703,6597,774,9136
1000258719,101551,15377,4293,868,7848
1000239262,135906,5101,2020,817,5810
1001205403,103451,5011,9216,936,12845
1000282028,147921,12842,6577,870,2050
1000279498,134114,19662,2486,725,12518
1000265712,144205,17872,9122,778,3279
1000258717,151663,2308,1045,709,8998
1000226863,167841,19971,2844,807,9418
1000279838,150830,2225,5722,714,5467
1000260935,192891,8338,6844,950,4186
1000258714,138155,19831,8313,799,13595
1000246681,180054,5630,2921,893,7759
1000226861,148030,19123,6948,840,10771
1001194931,189844,2816,5196,917,12567
1000279457,134836,10890,7627,700,12009
1000273499,143263,13837,4189,876,3763
1000261134,199829,13683,6194,709,13741
1000258711,112224,18136,3090,909,13289
1000229102,153689,12756,6834,723,2801
1000280554,158228,6147,2108,738,12888
1000279805,158320,9307,6605,927,9825
1000273750,197932,8596,4707,940,14978
1000258708,157544,4970,5033,749,7806
1000240975,171098,10716,1537,882,11643
1000234321,140488,12566,2836,737,5089
