dt_inp,TOT_RECV,MD,PRIME,TENTV_PPM,PPAID,UNM,ACT_PPM (if H is > 0.6*B) THEN  E = 0.6* E ELSE H= H,PPM_BAL(E-H)
AJAYI 1,29719,433,90,747,4274,24698,,
AJAYI 2,24139,900,39,1938,2262,19939,,
DAPO OSHATI,26170,200,103,800,1215,24955,,
EJIADE,51804,170,160,223,3290,48132,,
F.H.A. 1,3475,200,87,550,1500,2925,,
F.H.A. 3,10086,98,1043,142,1989,6912,,
F.H.A. 4,3526,300,28,87,2009,3439,,
FEMI AYEMI,20112,165,0,1537,3281,15294,,
MUSILIU ALADE,32318,109,98,90,1538,30780,,
TAIWO OLAYIWOLA,14986,87,77,1668,3435,9883,,
