undertaking_pop,dt_pop,tclass_pop,month_1_pop,month_2_pop,month_3_pop,month_4_pop,month_5_pop,month_6_pop,current_month_unmetered_pop
ABULE TAYLOR,AJAYI 1,R1,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 1,R2S,14,14,14,14,14,14,98
ABULE TAYLOR,AJAYI 1,R2T,1,1,1,1,1,1,19
ABULE TAYLOR,AJAYI 1,R3,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 1,C1S,13,13,13,13,13,13,20
ABULE TAYLOR,AJAYI 1,C1T,0,0,0,0,0,0,1
ABULE TAYLOR,AJAYI 1,C2,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 1,D1,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 1,A1,1,1,1,1,1,1,0
ABULE TAYLOR,AJAYI 1,S1,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 2,R1,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 2,R2S,10,10,10,10,10,10,175
ABULE TAYLOR,AJAYI 2,R2T,0,0,0,0,0,0,4
ABULE TAYLOR,AJAYI 2,R3,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 2,C1S,4,4,4,4,4,4,12
ABULE TAYLOR,AJAYI 2,C1T,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 2,C2,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 2,D1,0,0,0,0,0,0,0
ABULE TAYLOR,AJAYI 2,A1,0,0,0,0,0,0,1
ABULE TAYLOR,AJAYI 2,S1,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,R1,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,R2S,3,3,3,3,3,3,62
ABULE TAYLOR,DAPO OSHATI,R2T,1,1,1,1,1,1,1
ABULE TAYLOR,DAPO OSHATI,R3,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,C1S,3,3,3,3,3,3,7
ABULE TAYLOR,DAPO OSHATI,C1T,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,C2,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,D1,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,A1,0,0,0,0,0,0,0
ABULE TAYLOR,DAPO OSHATI,S1,0,0,0,0,0,0,0
ABULE TAYLOR,EJIADE,R1,0,0,0,0,0,0,0
ABULE TAYLOR,EJIADE,R2S,3,3,3,3,3,3,117
ABULE TAYLOR,EJIADE,R2T,0,0,0,0,0,0,12
ABULE TAYLOR,EJIADE,R3,0,0,0,0,0,0,0
ABULE TAYLOR,EJIADE,C1S,15,15,15,15,15,15,64
ABULE TAYLOR,EJIADE,C1T,1,1,1,1,1,1,5
ABULE TAYLOR,EJIADE,C2,0,0,0,0,0,0,0
ABULE TAYLOR,EJIADE,D1,0,0,0,0,0,0,5
ABULE TAYLOR,EJIADE,A1,0,0,0,0,0,0,2
ABULE TAYLOR,EJIADE,S1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,R1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,R2S,0,0,0,0,0,0,28
ABULE TAYLOR,F.H.A. 1,R2T,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,R3,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,C1S,0,0,0,0,0,0,2
ABULE TAYLOR,F.H.A. 1,C1T,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,C2,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,D1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 1,A1,0,0,0,0,0,0,2
ABULE TAYLOR,F.H.A. 1,S1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,R1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,R2S,14,14,14,14,14,14,52
ABULE TAYLOR,F.H.A. 3,R2T,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,R3,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,C1S,0,0,0,0,0,0,7
ABULE TAYLOR,F.H.A. 3,C1T,0,0,0,0,0,0,1
ABULE TAYLOR,F.H.A. 3,C2,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,D1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,A1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 3,S1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 4,R1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 4,R2S,0,0,0,0,0,0,74
ABULE TAYLOR,F.H.A. 4,R2T,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 4,R3,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 4,C1S,0,0,0,0,0,0,5
ABULE TAYLOR,F.H.A. 4,C1T,0,0,0,0,0,0,1
ABULE TAYLOR,F.H.A. 4,C2,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 4,D1,0,0,0,0,0,0,0
ABULE TAYLOR,F.H.A. 4,A1,0,0,0,0,0,0,1
ABULE TAYLOR,F.H.A. 4,S1,0,0,0,0,0,0,0
ABULE TAYLOR,FEMI AYENI,R1,0,0,0,0,0,0,0
ABULE TAYLOR,FEMI AYENI,R2S,12,12,12,12,12,12,61
ABULE TAYLOR,FEMI AYENI,R2T,5,5,5,5,5,5,9
ABULE TAYLOR,FEMI AYENI,R3,0,0,0,0,0,0,0
ABULE TAYLOR,FEMI AYENI,C1S,8,8,8,8,8,8,13
ABULE TAYLOR,FEMI AYENI,C1T,1,1,1,1,1,1,0
ABULE TAYLOR,FEMI AYENI,C2,0,0,0,0,0,0,0
ABULE TAYLOR,FEMI AYENI,D1,0,0,0,0,0,0,0
ABULE TAYLOR,FEMI AYENI,A1,0,0,0,0,0,0,0
ABULE TAYLOR,FEMI AYENI,S1,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,R1,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,R2S,5,5,5,5,5,5,25
ABULE TAYLOR,MUSILIU ALADE,R2T,3,3,3,3,3,3,2
ABULE TAYLOR,MUSILIU ALADE,R3,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,C1S,0,0,0,0,0,0,2
ABULE TAYLOR,MUSILIU ALADE,C1T,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,C2,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,D1,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,A1,0,0,0,0,0,0,0
ABULE TAYLOR,MUSILIU ALADE,S1,0,0,0,0,0,0,0
ABULE TAYLOR,TAIWO OLAYIWOLA,R1,0,0,0,0,0,0,0
ABULE TAYLOR,TAIWO OLAYIWOLA,R2S,5,5,5,5,5,5,65
ABULE TAYLOR,TAIWO OLAYIWOLA,R2T,3,3,3,3,3,3,11
ABULE TAYLOR,TAIWO OLAYIWOLA,R3,0,0,0,0,0,0,0
ABULE TAYLOR,TAIWO OLAYIWOLA,C1S,10,10,10,10,10,10,12
ABULE TAYLOR,TAIWO OLAYIWOLA,C1T,0,0,0,0,0,0,4
ABULE TAYLOR,TAIWO OLAYIWOLA,C2,0,0,0,0,0,0,0
ABULE TAYLOR,TAIWO OLAYIWOLA,D1,0,0,0,0,0,0,0
